City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
mataura,92,NZ,1532125347,72,-46.19,168.86,47.68,5.61
victoria,75,BN,1532124000,88,5.28,115.24,80.6,1.12
jamestown,92,AU,1532125196,93,-33.21,138.6,37.69,4.94
rikitea,92,PF,1532125348,99,-23.12,-134.97,74.59,14.12
tasiilaq,12,GL,1532123400,81,65.61,-37.64,42.8,6.93
bredasdorp,12,ZA,1532124000,93,-34.53,20.04,51.8,8.05
kankon,92,IN,1532125349,100,15.02,74.02,77.2,21.27
saint-philippe,1,CA,1532124000,38,45.36,-73.48,87.8,10.29
iquitos,75,PE,1532121600,66,-3.75,-73.25,86,6.93
maragogi,0,BR,1532125350,82,-9.01,-35.22,73.87,8.97
kodiak,1,US,1532119980,54,39.95,-94.76,84.2,9.17
samarai,92,PG,1532125351,100,-10.62,150.67,77.02,14.56
ribeira grande,0,PT,1532125351,100,38.52,-28.7,72.52,14.45
klaksvik,92,FO,1532123400,93,62.23,-6.59,50,11.41
mangrol,92,IN,1532125351,96,25.33,76.51,76.75,6.51
cherskiy,0,RU,1532125352,41,68.75,161.3,56.05,2.93
tarudant,,,,,,,,
itaqui,0,BR,1532125352,89,-29.13,-56.55,50.47,13.44
vitim,80,RU,1532125353,72,59.44,112.57,61.81,5.17
albany,20,US,1532123640,37,42.65,-73.75,84.2,13.87
coihaique,90,CL,1532120400,70,-45.58,-72.07,42.8,6.93
punta arenas,40,CL,1532120400,80,-53.16,-70.91,33.8,4.7
bluff,0,AU,1532125354,56,-23.58,149.07,48.49,9.64
salinopolis,32,BR,1532125354,91,-0.61,-47.36,82.33,14.56
comodoro rivadavia,0,AR,1532120400,75,-45.87,-67.48,41,5.82
chokurdakh,44,RU,1532125355,59,70.62,147.9,63.43,14.12
libertador general san martin,40,AR,1532120400,43,-23.81,-64.79,51.8,5.82
port elizabeth,1,US,1532123760,54,39.31,-74.98,82.4,11.41
upernavik,64,GL,1532125356,94,72.79,-56.15,40.21,7.52
cabo san lucas,40,MX,1532123340,46,22.89,-109.91,93.2,4.7
ushuaia,40,AR,1532120400,60,-54.81,-68.31,39.2,18.34
port alfred,0,ZA,1532125357,73,-33.59,26.89,64.24,6.62
puerto ayora,0,EC,1532120400,48,-0.74,-90.35,82.4,19.46
tautira,20,PF,1532124000,69,-17.73,-149.15,82.4,8.05
buala,12,SB,1532125358,92,-8.15,159.59,79.99,10.76
dwarka,75,IN,1532122200,89,28.58,77.04,84.2,2.93
barrow,92,AR,1532125358,99,-38.31,-60.23,43.36,33.69
palauig,92,PH,1532125358,100,15.44,119.9,74.41,7.07
hilo,40,US,1532123760,62,19.71,-155.08,84.2,10.29
hermanus,20,ZA,1532125359,78,-34.42,19.24,52.45,2.48
beyneu,0,KZ,1532125359,32,45.32,55.19,88.09,7.18
dongsheng,0,CN,1532125359,80,29.72,112.52,81.34,2.59
moron,40,VE,1532120400,41,10.49,-68.2,91.4,4.61
batticaloa,24,LK,1532125360,93,7.71,81.69,82.6,14
la palma,48,CO,1532125361,60,5.36,-74.39,80.35,0.69
saryshagan,,,,,,,,
uvat,0,RU,1532125361,46,59.14,68.9,57.67,8.75
businga,0,CD,1532125361,91,3.34,20.89,71.35,2.04
aragarcas,0,BR,1532120400,42,-15.9,-52.25,84.2,3.6
busselton,92,AU,1532125362,100,-33.64,115.35,62.26,27.31
illoqqortoormiut,,,,,,,,
thompson,75,CA,1532124000,46,55.74,-97.86,71.6,3.36
butaritari,80,KI,1532125363,100,3.07,172.79,84.67,7.63
mys shmidta,,,,,,,,
inongo,12,CD,1532125363,73,-1.93,18.29,76.57,2.48
xining,56,CN,1532125364,100,36.62,101.77,52.63,2.71
hambantota,24,LK,1532125364,96,6.12,81.12,81.07,16.8
saldanha,68,PT,1532125364,82,41.42,-6.55,63.97,2.59
taolanaro,,,,,,,,
qaanaaq,24,GL,1532125365,84,77.48,-69.36,40.57,1.7
faanui,64,PF,1532125365,100,-16.48,-151.75,79.63,17.02
wonthaggi,92,AU,1532125365,91,-38.6,145.59,47.32,5.17
huilong,0,CN,1532125366,90,28.89,110.18,74.95,2.37
mecca,0,SA,1532120400,25,21.43,39.83,96.8,2.59
cape town,75,ZA,1532124000,93,-33.93,18.42,55.4,2.24
poya,56,NC,1532125367,100,-21.35,165.16,66.85,3.6
kahului,40,US,1532123760,55,20.89,-156.47,87.8,17.22
igarka,0,RU,1532125367,79,67.47,86.57,39.85,9.19
new norfolk,40,AU,1532124000,80,-42.78,147.06,39.2,9.17
canico,40,PT,1532124000,83,32.63,-16.85,71.6,12.75
shakiso,92,ET,1532125368,100,5.77,38.9,56.77,2.37
nioro,20,GM,1532125368,68,13.79,-15.05,84.85,6.96
souillac,0,FR,1532124000,77,45.6,-0.6,62.6,6.93
sentyabrskiy,,,,,,,,
lompoc,1,US,1532123760,69,34.64,-120.46,91.4,14.99
tura,88,IN,1532125369,98,25.52,90.21,75.58,3.49
chase,75,US,1532122620,61,43.89,-85.64,82.4,17.22
georgetown,40,GY,1532120400,70,6.8,-58.16,86,13.87
sovetskoye,8,UA,1532125371,86,45.57,34.49,68.47,7.4
komsomolskiy,0,RU,1532125371,63,67.55,63.78,54.43,3.49
basco,75,US,1532124900,61,40.33,-91.2,84.2,11.41
fortuna,0,ES,1532124000,88,38.18,-1.13,75.2,2.24
kruisfontein,0,ZA,1532125372,52,-34,24.73,66.85,11.43
saint-augustin,0,FR,1532124000,72,44.83,-0.61,68,4.7
yellowknife,20,CA,1532120400,40,62.45,-114.38,69.8,9.17
torbay,40,CA,1532124000,56,47.66,-52.73,73.4,11.41
fershampenuaz,0,RU,1532125373,73,53.52,59.82,65.41,13.44
vaini,92,IN,1532125373,99,15.34,74.49,70.27,9.64
leningradskiy,48,RU,1532125374,78,69.38,178.42,43.27,6.51
sinnamary,32,GF,1532125374,95,5.38,-52.96,81.79,10.98
louisbourg,,,,,,,,
lagoa,0,PT,1532124000,60,37.14,-8.45,73.4,8.05
kapaa,75,US,1532123760,83,22.08,-159.32,84.2,14.99
nelson bay,8,AU,1532124000,61,-32.72,152.14,46.4,11.41
pedasi,92,PA,1532125376,100,7.53,-80.03,74.68,8.75
saint george,0,GR,1532123400,73,39.45,22.34,71.6,4.7
provideniya,92,RU,1532125376,100,64.42,-173.23,43.81,9.64
mangai,0,CD,1532125376,43,-4.07,19.59,80.26,4.61
coquimbo,0,CL,1532120400,62,-29.95,-71.34,59,8.05
hobart,40,AU,1532124000,80,-42.88,147.33,39.2,9.17
yverdon,,,,,,,,
husavik,24,CA,1532125377,66,50.56,-96.99,75.22,13.56
tuktoyaktuk,40,CA,1532124000,58,69.44,-133.03,57.2,9.17
khatanga,8,RU,1532125378,68,71.98,102.47,40.12,8.08
saskylakh,56,RU,1532125378,73,71.97,114.09,36.52,14.12
adrar,0,DZ,1532124000,11,27.87,-0.29,100.4,4.7
teya,40,MX,1532123460,37,21.05,-89.07,96.8,12.75
maceio,0,BR,1532124000,83,-9.67,-35.74,69.8,2.24
mar del plata,12,AR,1532125379,65,-46.43,-67.52,44.35,13.22
avera,90,US,1532123700,55,33.19,-82.53,87.8,9.17
ancud,92,CL,1532125380,94,-41.87,-73.83,46.51,12.21
muscat,0,OM,1532119800,46,23.6,58.55,91.4,4.61
grand river south east,,,,,,,,
narsaq,75,GL,1532123400,66,60.91,-46.05,51.8,5.82
manta,0,RO,1532125381,94,45.1,24.1,64.42,2.71
airai,68,TL,1532125381,93,-8.93,125.41,67.75,1.92
sovetskiy,80,RU,1532125382,75,56.76,48.47,68.56,10.76
nikolskoye,75,RU,1532122200,88,59.7,30.79,69.8,8.95
arraial do cabo,0,BR,1532120400,64,-22.97,-42.02,75.2,17.22
sosnogorsk,0,RU,1532125383,82,63.59,53.93,58.48,2.93
krasnogorsk,75,RU,1532122200,94,55.82,37.34,69.8,8.95
aklavik,75,CA,1532124000,63,68.22,-135.01,62.6,9.17
geraldton,90,CA,1532124000,56,49.72,-86.95,71.6,5.82
kloulklubed,90,PW,1532123580,94,7.04,134.26,75.2,3.36
nizhneyansk,,,,,,,,
ayan,48,TR,1532125385,90,40.67,33.6,54.7,2.15
kiama,0,AU,1532120400,70,-34.67,150.86,42.8,6.93
borzya,92,RU,1532125386,92,50.39,116.53,66.94,4.94
sucua,88,EC,1532125386,89,-2.46,-78.17,69.55,1.14
norman wells,20,CA,1532124000,54,65.28,-126.83,55.4,5.82
vila,75,IT,1532123400,100,45.18,8.4,69.8,11.41
hirara,40,JP,1532122200,94,24.8,125.28,80.6,8.05
tiksi,0,RU,1532125389,74,71.64,128.87,42.82,9.53
high rock,75,BS,1532124000,79,26.63,-78.28,86,3.36
vila franca do campo,20,PT,1532124000,77,37.72,-25.43,68,8.05
nivala,64,FI,1532125390,41,63.93,24.96,78.46,7.4
tessalit,0,ML,1532125391,12,20.2,1.01,92.05,10.76
anadyr,75,RU,1532120400,93,64.73,177.51,51.8,13.42
arroyo,20,US,1532123640,57,41.39,-78.88,80.6,11.41
krasnoselkup,,,,,,,,
vao,92,EE,1532125392,98,59.1,26.19,67.3,2.48
luderitz,0,NA,1532125393,78,-26.65,15.16,55.96,3.6
barranca,48,PE,1532125393,99,-10.75,-77.76,63.07,11.99
kaitangata,48,NZ,1532125393,75,-46.28,169.85,47.14,13.67
kattivakkam,75,IN,1532124000,55,13.22,80.32,87.8,9.17
flin flon,90,CA,1532124000,57,54.77,-101.88,75.2,4.7
vanimo,68,PG,1532125394,100,-2.67,141.3,83.59,13.44
buin,0,CL,1532124000,26,-33.73,-70.74,57.2,2.24
longyearbyen,75,NO,1532121600,93,78.22,15.63,44.6,3.36
port keats,0,AU,1532125395,65,-14.25,129.55,66.67,12.1
alice springs,0,AU,1532124000,69,-23.7,133.88,33.8,7.18
constitucion,75,MX,1532123160,21,23.99,-104.67,84.2,9.17
aykhal,80,RU,1532125396,68,65.95,111.51,40.03,8.97
lasa,20,CY,1532124000,83,34.92,32.53,78.8,4.7
saleaula,,,,,,,,
vestmannaeyjar,92,IS,1532125397,98,63.44,-20.27,51.01,19.15
jhang,40,PK,1532120400,74,33.67,72.7,84.2,9.17
antsohihy,0,MG,1532125397,66,-14.88,47.99,72.25,11.1
dikson,88,RU,1532125398,89,73.51,80.55,45.88,23.73
asau,,,,,,,,
pilar,90,AR,1532121480,81,-34.46,-58.91,46.4,14.99
santa eulalia del rio,,,,,,,,
simpang,75,MY,1532120400,94,4.82,100.71,77,1.12
iskilip,24,TR,1532125399,91,40.73,34.47,54.79,2.37
mitu,0,IR,1532125399,59,36.2,46.09,55.6,2.04
chupa,75,PE,1532120400,86,-15.11,-69.99,41,4.7
east london,0,ZA,1532125400,88,-33.02,27.91,71.17,17.58
cayenne,0,GF,1532124000,83,4.94,-52.33,80.6,2.24
bethel,90,US,1532123580,60,60.79,-161.76,68,5.82
vardo,75,US,1532123700,45,39.62,-77.74,86,14.99
lakatoro,36,VU,1532125401,89,-16.11,167.42,75.49,7.96
fairfield,1,US,1532123880,31,38.25,-122.04,95,25.28
luban,100,CN,1532125402,99,34.19,105.09,59.56,2.71
buchmany,48,UA,1532125403,89,51.07,28.04,67.66,4.38
phan thiet,36,VN,1532125403,100,10.93,108.1,78.01,11.43
namatanai,36,PG,1532125403,100,-3.66,152.44,81.25,8.97
kununurra,0,AU,1532124000,54,-15.77,128.74,55.4,4.7
mahebourg,40,MU,1532124000,64,-20.41,57.7,71.6,17.22
karaton,40,ID,1532124000,78,-6.34,106.1,80.6,3.36
goderich,0,CA,1532125404,57,43.74,-81.71,80.35,20.71
ballina,76,IE,1532125405,91,54.11,-9.15,57.22,9.75
beloha,0,MG,1532125405,62,-25.17,45.06,64.6,13
hithadhoo,92,MV,1532125405,100,-0.6,73.08,78.37,8.41
ketchikan,1,US,1532123760,56,55.34,-131.65,73.4,11.41
warqla,,,,,,,,
wuwei,0,CN,1532125406,84,37.93,102.64,50.02,3.38
pangai,40,TO,1532124000,65,-19.8,-174.35,77,9.17
atuona,0,PF,1532125407,100,-9.8,-139.03,79.36,17.47
kavieng,68,PG,1532125407,100,-2.57,150.8,82.6,13.78
oranjestad,20,AW,1532124000,74,12.52,-70.03,84.2,21.92
kargil,76,PK,1532125408,99,34.56,76.13,31.21,1.03
bosaso,36,SO,1532125408,79,11.28,49.18,90.34,6.73
san miguel,90,AR,1532121480,81,-34.54,-58.72,46.4,14.99
barentsburg,,,,,,,,
port hedland,0,AU,1532124000,76,-20.31,118.58,55.4,3.36
barawe,,,,,,,,
champerico,75,MX,1532122980,34,16.38,-93.6,93.2,4.7
melito di porto salvo,0,IT,1532123400,53,37.92,15.77,77,8.05
jumla,92,NP,1532125412,95,29.28,82.18,37.87,2.37
severomuysk,92,RU,1532125412,93,56.17,113.57,54.52,2.15
tuatapere,88,NZ,1532125413,85,-46.13,167.69,53.53,16.58
grand gaube,40,MU,1532124000,64,-20.01,57.66,71.6,17.22
lorengau,68,PG,1532125413,97,-2.02,147.27,83.77,15.01
yarim,68,YE,1532125414,80,14.3,44.38,56.59,2.15
banda aceh,76,ID,1532125414,86,5.56,95.32,78.55,5.95
ilulissat,75,GL,1532123400,70,69.22,-51.1,44.6,3.36
jardim,48,BR,1532125414,44,-21.48,-56.15,81.07,13.11
te anau,76,NZ,1532125415,73,-45.41,167.72,47.86,14.45
cambridge,20,GB,1532123760,88,52.2,0.12,66.2,4.7
amahai,92,ID,1532125415,100,-3.31,129,78.73,12.55
carnarvon,0,ZA,1532125416,68,-30.97,22.13,37.78,7.74
goundam,12,ML,1532125416,87,16.42,-3.66,74.86,4.5
ojinaga,0,US,1532125416,18,29.56,-104.41,100.51,5.06
ponta do sol,0,BR,1532125416,56,-20.63,-46,71.08,3.04
dharan,56,NP,1532125417,86,26.81,87.28,70.27,1.92
kaka,0,TM,1532125417,70,37.35,59.62,68.11,2.15
bengkulu,,,,,,,,
san matias,40,HN,1532124000,39,13.97,-86.63,82.4,11.41
baracoa,0,CU,1532125418,89,20.35,-74.5,85.12,8.41
bilibino,12,RU,1532125418,71,68.06,166.44,53.8,3.04
yulara,0,AU,1532124000,69,-25.24,130.99,35.6,5.82
odiongan,20,PH,1532125419,95,12.4,121.99,83.77,21.16
sitka,0,US,1532125353,75,37.17,-99.65,92.68,4.72
abalak,24,NE,1532125419,57,15.46,6.28,81.25,9.75
pangnirtung,40,CA,1532124000,70,66.15,-65.72,48.2,17.22
broome,92,GB,1532123760,68,52.47,1.45,66.2,5.82
